time,open,high,low,close,Volume
1729181700,157.94,158.02,157.82,158.01,21946
1729182000,158,158.33,158,158.3,21908
1729182300,158.28,158.42,158,158.21,27754
1729182600,158.2,158.27,157.7,157.79,30107
1729182900,157.82,157.98,157.78,157.98,13129
1729183200,157.97,158.49,157.97,158.38,41526
1729183500,158.35,158.35,158,158.07,16537
1729183800,158.12,158.375,158.06,158.34,14338
1729184100,158.34,158.39,158.02,158.16,19726
1729184400,158.22,158.32,157.97,158.24,30412
1729184700,158.25,158.32,158.08,158.27,18678
1729185000,158.25,158.26,158.09,158.2,12734
1729185300,158.2,158.47,158.16,158.38,22377
1729185600,158.38,158.67,158.37,158.6,59794
1729185900,158.58,158.69,158.46,158.5,16100
1729186200,158.5,158.6,158.26,158.26,24852
1729186500,158.3,158.36,158.16,158.23,16867
1729186800,158.24,158.28,158.19,158.26,8226
1729187100,158.26,158.29,158.13,158.19,26616
1729187400,158.24,158.33,158.03,158.03,27027
1729187700,158.02,158.03,157.86,157.89,34464
1729188000,157.88,157.96,157.48,157.6,38292
1729188300,157.6,157.6,157.26,157.36,48143
1729188600,157.36,157.66,157.33,157.63,18072
1729188900,157.6,157.65,157.45,157.525,27358
1729189200,157.49,157.575,157.14,157.19,22326
1729189500,157.2,157.42,157.15,157.36,18300
1729189800,157.34,157.35,156.97,157.06,38107
1729190100,157.06,157.2,156.8,157.16,33844
1729190400,157.12,157.15,156.97,157.12,10121
1729190700,157.11,157.34,157.09,157.19,35156
1729191000,157.21,157.31,157.16,157.19,16727
1729191300,157.19,157.19,157.06,157.16,17955
1729191600,157.19,157.25,156.78,156.85,27908
1729191900,156.875,157.3,156.84,157.27,25217
1729192200,157.27,157.405,157.22,157.38,20153
1729192500,157.37,157.46,157.24,157.34,29374
1729192800,157.31,157.31,157.08,157.25,21589
1729193100,157.255,157.33,156.96,156.96,44603
1729193400,156.96,157.28,156.89,157.19,43862
1729193700,157.21,157.27,156.66,156.74,35658
1729194000,156.75,157.15,156.73,157.1,25157
1729194300,157.09,157.13,156.84,156.84,27313
1729194600,156.77,157.03,156.59,156.82,62309
1729194900,156.8,156.81,156.2,156.27,121519
1729258200,157.28,158.01,155.55,155.86,180971
1729258500,155.85,156.61,155.7,155.8,111723
1729258800,155.82,156.98,155.8,156.74,72903
1729259100,156.75,157.03,155.96,156.05,65885
1729259400,156.07,156.85,156.07,156.64,57510
1729259700,156.59,156.85,156.08,156.29,42774
1729260000,156.33,156.66,156.14,156.4,56108
1729260300,156.39,156.82,156.23,156.76,40830
1729260600,156.79,156.83,156.01,156.06,50768
1729260900,156.11,156.4,155.95,156.2,49312
1729261200,156.23,156.6,156.17,156.55,33279
1729261500,156.56,156.89,156.43,156.84,47053
1729261800,156.83,157.15,156.78,157.095,68222
1729262100,157.09,157.11,156.79,157.1,39700
1729262400,157.09,157.47,157.09,157.43,58826
1729262700,157.44,157.48,157.15,157.19,31793
1729263000,157.2,157.25,156.7,156.73,25262
1729263300,156.74,156.8,156.44,156.47,49565
1729263600,156.5,156.74,156.5,156.7,15293
1729263900,156.72,157.1,156.48,157.08,37584
1729264200,157.06,157.11,156.57,156.69,29474
1729264500,156.69,156.9,156.62,156.85,11783
1729264800,156.81,157.02,156.73,157.02,32904
1729265100,157.01,157.04,156.67,156.9,12638
1729265400,156.915,156.96,156.51,156.51,16643
1729265700,156.53,156.55,156.3,156.35,37621
1729266000,156.38,156.5,156.21,156.38,19588
1729266300,156.38,156.38,156.21,156.24,11933
1729266600,156.23,156.29,156.07,156.24,28538
1729266900,156.26,156.37,156.12,156.31,30801
1729267200,156.29,156.29,156,156.12,48693
1729267500,156.12,156.19,156.05,156.12,10718
1729267800,156.15,156.19,155.86,155.89,35837
1729268100,155.87,156.18,155.83,156.11,22009
1729268400,156.13,156.43,156.04,156.34,29548
1729268700,156.35,156.4,156.27,156.33,14983
1729269000,156.33,156.45,156.27,156.45,11254
1729269300,156.42,156.52,156.19,156.25,13823
1729269600,156.24,156.46,156.24,156.44,8086
1729269900,156.43,156.48,156.38,156.43,10283
1729270200,156.43,156.58,156.43,156.53,11179
1729270500,156.54,156.76,156.44,156.46,25959
1729270800,156.43,156.56,156.28,156.36,10527
1729271100,156.36,156.56,156.36,156.53,11614
1729271400,156.52,156.56,156.47,156.47,12968
1729271700,156.49,156.54,156.24,156.53,20869
1729272000,156.525,156.55,156.41,156.52,11917
1729272300,156.53,156.54,156.27,156.4,7861
1729272600,156.39,156.43,156.31,156.4,4883
1729272900,156.41,156.53,156.4,156.5,7543
1729273200,156.51,156.51,156.34,156.42,7177
1729273500,156.41,156.58,156.41,156.53,12660
1729273800,156.51,156.55,156.39,156.4,7702
1729274100,156.38,156.55,156.32,156.38,23464
1729274400,156.37,156.38,155.95,156.16,32992
1729274700,156.17,156.18,156.05,156.12,12013
1729275000,156.12,156.38,156.05,156.375,19634
1729275300,156.39,156.51,156.33,156.41,26160
1729275600,156.41,156.44,156.26,156.28,13425
1729275900,156.27,156.39,156.2,156.28,18470
1729276200,156.28,156.3,156.12,156.15,22527
1729276500,156.13,156.13,156,156.03,28419
1729276800,156.03,156.12,155.95,156.09,11526
1729277100,156.09,156.22,156.06,156.11,14227
1729277400,156.11,156.17,156.09,156.11,11143
1729277700,156.11,156.28,156.11,156.27,10083
1729278000,156.26,156.28,156.09,156.22,16015
1729278300,156.22,156.29,156.12,156.18,14351
1729278600,156.18,156.2,156.01,156.07,19911
1729278900,156.07,156.09,155.95,156,30736
1729279200,156,156.12,155.91,155.95,45813
1729279500,155.96,156.07,155.93,156,53513
1729279800,155.98,156,155.84,155.84,46973
1729280100,155.84,155.85,155.65,155.67,55547
1729280400,155.67,155.705,155.6,155.65,18050
1729280700,155.67,156,155.67,155.99,40371
1729281000,155.97,156.15,155.92,155.96,100181
1729281300,155.98,156,155.71,155.96,70485
1729517400,155.75,156.15,155.07,155.93,119943
1729517700,156.04,156.32,155.5,155.91,70469
1729518000,155.91,156.22,155.76,155.92,48313
1729518300,155.95,156.26,155.65,155.89,61230
1729518600,155.93,156.33,155.76,156.11,63126
1729518900,156.13,156.65,155.88,156.56,73649
1729519200,156.64,156.92,156.51,156.65,51630
1729519500,156.71,157.06,156.38,156.52,63191
1729519800,156.53,156.58,156.11,156.37,54313
1729520100,156.35,156.76,156.3,156.7,44203
1729520400,156.69,156.74,156.27,156.3,29924
1729520700,156.27,156.27,155.76,155.8,54779
1729521000,155.83,155.96,155.56,155.59,50732
1729521300,155.57,155.7,154.66,154.67,108328
1729521600,154.68,154.88,154.4,154.56,71292
1729521900,154.57,154.71,154.15,154.58,57900
1729522200,154.59,154.82,154.46,154.7,42998
1729522500,154.75,154.86,154.61,154.72,24228
1729522800,154.71,154.98,154.5,154.7,44732
1729523100,154.685,154.72,154.21,154.35,48135
1729523400,154.34,155,154.24,154.92,60638
1729523700,154.86,154.92,154.66,154.91,14742
1729524000,154.91,155.105,154.79,154.91,35660
1729524300,154.91,154.98,154.61,154.8,23681
1729524600,154.8,155.2,154.66,155.19,18321
1729524900,155.16,155.42,154.96,155.38,30610
1729525200,155.38,155.55,155.31,155.49,25882
1729525500,155.45,155.81,155.45,155.79,31086
1729525800,155.79,155.91,155.65,155.66,22088
1729526100,155.7,155.95,155.7,155.88,20525
1729526400,155.88,156.26,155.865,156.07,61980
1729526700,156.06,156.15,155.9,156.11,17524
1729527000,156.13,156.37,155.86,156.37,32867
1729527300,156.38,156.62,156.35,156.62,42882
